순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,대표국적,국적,배급사
129,아토믹 블론드,2017-08-30,"1,177,725,658",0.1%,"155,368",471,미국,미국,씨네그루(주)키다리이엔티
130,레고 닌자고 무비,2017-09-28,"1,149,394,400",0.1%,"154,966",459,미국,미국,워너브러더스 코리아(주)
131,비정규직 특수요원,2017-03-16,"1,150,732,700",0.1%,"149,719",497,한국,한국,"(주)이수C&E,(주)스톰픽쳐스코리아"
132,레고 배트맨 무비,2017-02-09,"1,175,424,305",0.1%,"148,760",427,미국,미국,워너브러더스 코리아(주)
133,극장판 또봇: 로봇군단의 습격,2017-04-27,"1,089,135,300",0.1%,"141,592",231,한국,한국,씨제이이앤엠(주)
134,극장판 에그엔젤 코코밍: 푸르밍과 두근두근 코코밍 세계,2017-09-07,"1,055,895,200",0.1%,"137,052",232,일본,일본,씨제이이앤엠(주)
135,로마의 휴일,2017-08-30,"993,321,176",0.1%,"134,827",436,한국,한국,메가박스중앙(주)플러스엠
136,눈길,2017-03-01,"974,025,100",0.1%,"130,119",495,한국,한국,"(주)엣나인필름,CGV아트하우스"
137,시간위의 집,2017-04-05,"1,020,724,600",0.1%,"128,975",454,한국,한국,"(주)리틀빅픽쳐스,(주)페퍼민트앤컴퍼니"
138,명탐정 코난: 에피소드 원-작아진 명탐정,2017-02-08,"999,362,100",0.1%,"128,472",215,일본,일본,씨제이이앤엠(주)
139,루돌프와 많이있어,2016-12-28,"944,763,200",0.1%,"126,483",375,일본,일본,씨제이이앤엠(주)
140,저수지 게임,2017-09-07,"984,605,100",0.1%,"125,402",289,한국,한국,(주)스마일이엔티
141,마이펫 오지,2017-02-16,"913,514,950",0.1%,"124,318",393,스페인,"스페인,캐나다",롯데쇼핑㈜롯데엔터테인먼트
142,"서서평, 천천히 평온하게",2017-04-26,"876,875,400",0.1%,"123,206",234,한국,한국,커넥트픽쳐스(주)
143,짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격,2017-01-25,"905,611,600",0.1%,"119,197",334,일본,일본,(주)넥스트엔터테인먼트월드(NEW)
144,파리로 가는 길,2017-08-03,"933,298,300",0.1%,"119,171",79,미국,미국,(주)티캐스트
145,킹 오브 프리즘 - 프라이드 더 히어로,2017-06-10,"981,891,500",0.1%,"119,135",92,일본,일본,(주)박수엔터테인먼트
146,극장판 소드 아트 온라인 -오디널 스케일-,2017-02-23,"897,598,000",0.1%,"117,401",124,일본,일본,(주)박수엔터테인먼트
147,여교사,2017-01-04,"947,192,460",0.1%,"116,851",393,한국,한국,필라멘트픽쳐스
148,직쏘,2017-11-02,"972,332,500",0.1%,"111,506",175,미국,미국,㈜코리아스크린
149,베이블레이드 버스트 갓 : 갓 발키리의 탄생,2017-06-01,"827,511,500",0.0%,"109,358",198,일본,일본,씨제이이앤엠(주)
